千呼万唤始出来，,neutral
尼康的APSC小相机终于发布了，,neutral
COOLPIX A. 你怎么看呢？,neutral
我看，尼康是挤牙膏挤惯了啊，,neutral
1，外观既没有V1时尚，,negative
也没P7100专业，,negative
反而类似P系列。,neutral
2，CMOS炒冷饭。,negative
3，OVF没有任何提示和显示。,negative
（除了框框),neutral
4，28MM镜头是不错，,positive
可是F2.8定焦也太小气了。,negative
5，电池坑爹，,negative
用D800和V1的电池很难吗？,neutral
6，考虑到1100美元的定价，,neutral
富士X100S表示很欢乐。,neutral
***好处是，,neutral
可以确定，,neutral
尼康会继续大力发展1系列了***另外体积比X100S小也算是A的优势吧***。,positive
等2014年年中跌倒1900左右的时候就可以入手了。,neutral
进xe之前知道有一部m8.2才万元左右，,neutral
十分心动。,neutral
都拿在手中了才突然醒悟，,neutral
色彩fuji未必比leica差，,positive
结实耐用在数码时代已经不那么重要了，,neutral
"所以拿xe,",neutral
还能多买只老头玩。,neutral
二选一：,neutral
富士X-Pro1+18mmF2和徕卡X？,neutral
玩过的小机器里面感觉成像最好的还是适马的DP系列，,positive
可是它的机械性能又实在是不好，,negative
对焦叽叽的叫声让你觉得随时要坏。,negative
NEX5C玩了半年就出掉了主要是边缘成像太差色散严重，,negative
NEX5C玩了半年就出掉了主要是边缘成像太差色散严重，,negative
用转接要好很多但又没有了自动对焦。,negative
徕卡X2出来后我是成都第一批购买的。,neutral
它的做工确实精湛镜头也很漂亮就是一件工艺品，,positive
它的做工确实精湛镜头也很漂亮就是一件工艺品，,positive
在实际使用中发现暗光近景不错有一些独特的味道，,positive
但是阳光下的远景分辨率说句不好听的就像手机拍的一样而且紫边也不小，,negative
但是阳光下的远景分辨率说句不好听的就像手机拍的一样而且紫边也不小，,negative
当然徕卡是神物用的不好主要还是我的水平差。,neutral
出掉x2已经是11月了成都天气一直不太好DP这阳光机也暂时没用。,neutral
12月陪朋友去买尼康D800时看到了富士的XE1就叫老板拿来玩一下，,neutral
结果大吃一惊它的高感在1600时居然和我的D700差不多，,positive
因为吃过X2的亏又拿到店外试了一下远景不错加了个35/1.4立马拿下现在使用了一段时间非常满意。,positive
关于X2在多说两句，,neutral
按说徕卡的镜头毋庸置疑那块索尼1600万像素传感器也很不错，,positive
窃以为还是徕卡的软件功底差了。,negative
不得不说：,neutral
尼康的工业设计真是倒退了三十年！,negative
看看这都是些啥垃圾！,neutral
不光新出的无反相机丑得很，,neutral
远赶不上富士X100，,neutral
连新出的80-400也赶不上上一代产品！,neutral
我们要问，,neutral
尼康的工业设计到底怎么了？,negative
难道连一点设计灵感都没有了吗？,neutral
说老实话，,neutral
真的连三十年前的产品的水平都没有了啊！,neutral
看看F3，,neutral
F4，,neutral
甚至FM2，,neutral
看看第一二代80200，,neutral
都比现在的产品漂亮10倍！,neutral
虽说不太认同感动家的机身设计，,negative
但感动的镜头的确是一流的外观！,positive
同样是意大利设计师的作品，,neutral
感动在镜头上，,neutral
绝对不会在最前端的2~3厘米处突然收缩镜筒，,neutral
而是平稳过渡，,neutral
就这点，,neutral
感动就符合大多数人的审美观点。,neutral
而尼康自从出了“竹炮”以后，,neutral
却经常在镜筒的最前端2~3厘米处无缘无故的突然收缩镜筒，,neutral
难道真要节约那么几克材料吗？,neutral
殊不知就是这一哆嗦，一下子就变得丑陋多了！,neutral
D4外形设计真的很成功,positive
不知道楼主摸没摸过D4真机,neutral
非常成功的设计,positive
本以为D3系列很难超越了,neutral
但是D4的流线风格显然不比D3差,positive
在整体感上还更胜一筹,positive
DX DC还好啦，,neutral
新80400真是有点拿不出手，,neutral
感觉镜筒的设计是很随便的没有用心，,negative
把VR放到脚架环那一节去，,neutral
口径做大一点点，,neutral
金圈下面那一节弄个DZP那样的防滑橡胶套上，,neutral
不就好看多了？,neutral
现在这个样子怎么看怎么像镜头长倒过来似的。,negative
CoolpixA 的样子见仁见智了，,neutral
我觉得肯定不算好看，,neutral
但也不丑，,neutral
算是有尼康的风格吧，,neutral
至少比一系好看。,neutral
而且优点是28mm，,neutral
35的选择已经有了，,neutral
出个28的给大家多点选择。,neutral
f2.8个人认为略微欠缺，,neutral
f2就完美了，,neutral
不过考虑到size做的那么小，,neutral
也是可以原谅的。,neutral
我最不满的应该是没有EVF，,negative
这毕竟是趋势，,neutral
